State,National Remoteness Areas,SA4 Name 2021,National LGA Name 2024,National Road Type
VIC,Inner Regional Australia,Melbourne - North West,Macedon Ranges,Arterial Road
QLD,Very Remote Australia,Queensland - Outback,Mareeba,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - North East,Whittlesea,Sub-arterial Road
NSW,Inner Regional Australia,Mid North Coast,Mid-Coast,Arterial Road
QLD,Inner Regional Australia,Central Queensland,Rockhampton,Pedestrian Thoroughfare
NSW,Inner Regional Australia,Mid North Coast,Mid-Coast,National or State Highway
QLD,Inner Regional Australia,Ipswich,Ipswich,Sub-arterial Road
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Muswellbrook,Arterial Road
VIC,Outer Regional Australia,Warrnambool and South West,Glenelg,National or State Highway
QLD,Inner Regional Australia,Wide Bay,Bundaberg,Collector Road
QLD,Outer Regional Australia,Cairns,Douglas,National or State Highway
QLD,Outer Regional Australia,Darling Downs - Maranoa,Western Downs,Sub-arterial Road
SA,Major Cities of Australia,Adelaide - West,Port Adelaide Enfield,Arterial Road
QLD,Major Cities of Australia,Brisbane - South,Brisbane,Local Road
NSW,Outer Regional Australia,Central West,Cabonne,Arterial Road
QLD,Major Cities of Australia,Gold Coast,Gold Coast,Collector Road
ACT,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT,Arterial Road
VIC,Major Cities of Australia,Mornington Peninsula,Frankston,Sub-arterial Road
NSW,Outer Regional Australia,New England and North West,Moree Plains,National or State Highway
NSW,Major Cities of Australia,Sydney - Parramatta,Parramatta,Local Road
TAS,Outer Regional Australia,Launceston and North East,Meander Valley,National or State Highway
NSW,Major Cities of Australia,Capital Region,Queanbeyan-Palerang,Local Road
NSW,Outer Regional Australia,Capital Region,Snowy Monaro,National or State Highway
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa,Local Road
NSW,Outer Regional Australia,Murray,Federation,National or State Highway
QLD,Inner Regional Australia,Toowoomba,Toowoomba,Local Road
QLD,Major Cities of Australia,Brisbane Inner City,Brisbane,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - Blacktown,Blacktown,Arterial Road
QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,National or State Highway
NSW,Inner Regional Australia,Central West,Cowra,Local Road
NSW,Inner Regional Australia,Capital Region,Goulburn Mulwaree,National or State Highway
QLD,Major Cities of Australia,Moreton Bay - South,Moreton Bay,Local Road
QLD,Inner Regional Australia,Wide Bay,Gympie,Local Road
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Willoughby,Arterial Road
NSW,Inner Regional Australia,Capital Region,Shoalhaven,National or State Highway
NSW,Inner Regional Australia,Capital Region,Queanbeyan-Palerang,Arterial Road
VIC,Inner Regional Australia,Bendigo,Greater Bendigo,National or State Highway
VIC,Inner Regional Australia,Melbourne - North East,Nillumbik,Arterial Road
QLD,Inner Regional Australia,Central Queensland,Rockhampton,National or State Highway
NSW,Inner Regional Australia,Illawarra,Wollongong,Arterial Road
QLD,Inner Regional Australia,Wide Bay,South Burnett,Collector Road
SA,Remote Australia,South Australia - South East,Tatiara,National or State Highway
NSW,Inner Regional Australia,Richmond - Tweed,Tweed,Arterial Road
NSW,Outer Regional Australia,Mid North Coast,Mid-Coast,Sub-arterial Road
QLD,Major Cities of Australia,Ipswich,Ipswich,National or State Highway
VIC,Inner Regional Australia,North West,Ararat,National or State Highway
NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Arterial Road
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Light,Arterial Road
SA,Major Cities of Australia,Adelaide - North,Salisbury,Collector Road
QLD,Outer Regional Australia,Cairns,Cairns,National or State Highway
VIC,Inner Regional Australia,Warrnambool and South West,Colac Otway,Arterial Road
QLD,Very Remote Australia,Queensland - Outback,McKinlay,Sub-arterial Road
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,Local Road
QLD,Outer Regional Australia,Central Queensland,Gladstone,National or State Highway
