State,National Remoteness Areas,SA4 Name 2021,National LGA Name 2024,National Road Type
QLD,Outer Regional Australia,Central Queensland,Rockhampton,National or State Highway
VIC,Major Cities of Australia,Melbourne - Inner,Moonee Valley,Sub-arterial Road
SA,Remote Australia,South Australia - Outback,Unincorporated SA,National or State Highway
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Port Stephens,Arterial Road
NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,National or State Highway
QLD,Inner Regional Australia,Central Queensland,Gladstone,National or State Highway
QLD,Inner Regional Australia,Sunshine Coast,Noosa,Sub-arterial Road
QLD,Remote Australia,Queensland - Outback,Mount Isa,Collector Road
QLD,Remote Australia,Queensland - Outback,Mount Isa,Local Road
QLD,Major Cities of Australia,Brisbane Inner City,Brisbane,Pedestrian Thoroughfare
VIC,Major Cities of Australia,Melbourne - Inner South,Kingston (Vic.),Local Road
QLD,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba,Local Road
VIC,Major Cities of Australia,Melbourne - Outer East,Maroondah,Arterial Road
NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Collector Road
QLD,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba,National or State Highway
VIC,Major Cities of Australia,Melbourne - West,Maribyrnong,National or State Highway
SA,Remote Australia,South Australia - Outback,Unincorporated SA,Sub-arterial Road
SA,Major Cities of Australia,Adelaide - South,Marion,Collector Road
VIC,Major Cities of Australia,Melbourne - North East,Darebin,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - Blacktown,Blacktown,Access road
NSW,Major Cities of Australia,Sydney - Blacktown,Blacktown,Collector Road
NSW,Inner Regional Australia,Far West and Orana,Dubbo,National or State Highway
NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,National or State Highway
QLD,Inner Regional Australia,Gold Coast,Gold Coast,Sub-arterial Road
VIC,Outer Regional Australia,North West,Mildura,National or State Highway
QLD,Major Cities of Australia,Brisbane - North,Brisbane,National or State Highway
NSW,Inner Regional Australia,Sydney - North Sydney and Hornsby,Hornsby,National or State Highway
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,National or State Highway
SA,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills,Local Road
VIC,Major Cities of Australia,Melbourne - South East,Monash,National or State Highway
VIC,Outer Regional Australia,Hume,Mansfield,Arterial Road
QLD,Very Remote Australia,Townsville,Charters Towers,National or State Highway
NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,The Hills,Local Road
NSW,Major Cities of Australia,Sydney - South West,Fairfield,Collector Road
VIC,Major Cities of Australia,Melbourne - Inner South,Kingston (Vic.),National or State Highway
NSW,Inner Regional Australia,Richmond - Tweed,Richmond Valley,Sub-arterial Road
QLD,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - Parramatta,Parramatta,Arterial Road
VIC,Inner Regional Australia,Ballarat,Ballarat,Local Road
NSW,Inner Regional Australia,Sydney - Sutherland,Sutherland,Arterial Road
NSW,Inner Regional Australia,Central West,Mid-Western,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - North West,Hume,Arterial Road
NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,Arterial Road
QLD,Inner Regional Australia,Ipswich,Ipswich,National or State Highway
VIC,Major Cities of Australia,Melbourne - Inner South,Glen Eira,National or State Highway
VIC,Major Cities of Australia,Melbourne - South East,Monash,Local Road
QLD,Inner Regional Australia,Sunshine Coast,Sunshine Coast,Local Road
NSW,Outer Regional Australia,Central West,Cabonne,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - North East,Nillumbik,Arterial Road
VIC,Remote Australia,North West,Yarriambiack,National or State Highway
VIC,Inner Regional Australia,Bendigo,Greater Bendigo,Local Road
QLD,Inner Regional Australia,Wide Bay,South Burnett,National or State Highway
VIC,Inner Regional Australia,Latrobe - Gippsland,Latrobe (Vic.),National or State Highway
VIC,Outer Regional Australia,North West,West Wimmera,Sub-arterial Road
VIC,Major Cities of Australia,Mornington Peninsula,Frankston,Collector Road
NSW,Major Cities of Australia,Sydney - South West,Fairfield,Arterial Road
QLD,Major Cities of Australia,Ipswich,Brisbane,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Ku-ring-gai,National or State Highway
VIC,Major Cities of Australia,Melbourne - South East,Casey,Local Road
VIC,Inner Regional Australia,Ballarat,Pyrenees,National or State Highway
NSW,Remote Australia,Far West and Orana,Unincorporated NSW,National or State Highway
TAS,Outer Regional Australia,Launceston and North East,Break O'Day,National or State Highway
SA,Major Cities of Australia,Adelaide - South,Onkaparinga,Arterial Road
NSW,Major Cities of Australia,Sydney - Inner South West,Strathfield,National or State Highway
NSW,Major Cities of Australia,Sydney - Inner South West,Bayside (NSW),Collector Road
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,National or State Highway
NSW,Inner Regional Australia,Newcastle and Lake Macquarie,Lake Macquarie,National or State Highway
VIC,Major Cities of Australia,Melbourne - South East,Cardinia,Sub-arterial Road
QLD,Outer Regional Australia,Wide Bay,Bundaberg,Sub-arterial Road
QLD,Outer Regional Australia,Wide Bay,South Burnett,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - West,Brimbank,National or State Highway
QLD,Major Cities of Australia,Brisbane Inner City,Brisbane,Local Road
SA,Inner Regional Australia,South Australia - South East,Mid Murray,Sub-arterial Road
SA,Inner Regional Australia,South Australia - South East,Murray Bridge,Local Road
NSW,Major Cities of Australia,Richmond - Tweed,Tweed,National or State Highway
NSW,Outer Regional Australia,Murray,Murray River,National or State Highway
VIC,Major Cities of Australia,Melbourne - South East,Casey,Collector Road
VIC,Inner Regional Australia,Shepparton,Greater Shepparton,National or State Highway
NSW,Major Cities of Australia,Sydney - Outer South West,Camden,Arterial Road
NSW,Outer Regional Australia,Central West,Mid-Western,National or State Highway
TAS,Inner Regional Australia,Hobart,Glenorchy,Arterial Road
NSW,Major Cities of Australia,Sydney - Inner South West,Georges River,Collector Road
QLD,Major Cities of Australia,Brisbane - North,Brisbane,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Hornsby,National or State Highway
QLD,Inner Regional Australia,Logan - Beaudesert,Scenic Rim,Collector Road
NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Randwick,Local Road
QLD,Outer Regional Australia,Wide Bay,Bundaberg,National or State Highway
NSW,Major Cities of Australia,Sydney - Inner West,Strathfield,Arterial Road
NSW,Inner Regional Australia,Richmond - Tweed,Richmond Valley,National or State Highway
NSW,Major Cities of Australia,Sydney - Ryde,Hunters Hill,Local Road
SA,Outer Regional Australia,South Australia - South East,Berri Barmera,Arterial Road
VIC,Inner Regional Australia,Hume,Wangaratta,Arterial Road
NSW,Outer Regional Australia,Central West,Parkes,Arterial Road
NSW,Inner Regional Australia,Capital Region,Goulburn Mulwaree,Sub-arterial Road
NSW,Outer Regional Australia,New England and North West,Gunnedah,Sub-arterial Road
NSW,Outer Regional Australia,Far West and Orana,Dubbo,National or State Highway
QLD,Major Cities of Australia,Brisbane - North,Brisbane,Collector Road
QLD,Outer Regional Australia,Wide Bay,Gympie,National or State Highway
NSW,Inner Regional Australia,Richmond - Tweed,Byron,Arterial Road
NSW,Outer Regional Australia,Far West and Orana,Cabonne,Sub-arterial Road
VIC,Outer Regional Australia,Hume,Mansfield,Local Road
ACT,Inner Regional Australia,Australian Capital Territory,Unincorporated ACT,Collector Road
VIC,Inner Regional Australia,Ballarat,Moorabool,National or State Highway
QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Isaac,National or State Highway
NSW,Inner Regional Australia,Central West,Bathurst,Local Road
NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Randwick,Arterial Road
NSW,Outer Regional Australia,New England and North West,Inverell,National or State Highway
QLD,Outer Regional Australia,Darling Downs - Maranoa,Western Downs,National or State Highway
VIC,Inner Regional Australia,Hume,Mitchell,Sub-arterial Road
VIC,Inner Regional Australia,Hume,Benalla,Local Road
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Bellingen,Arterial Road
TAS,Outer Regional Australia,Launceston and North East,Break O'Day,Arterial Road
VIC,Outer Regional Australia,North West,Mildura,Local Road
VIC,Inner Regional Australia,Latrobe - Gippsland,Wellington,National or State Highway
QLD,Outer Regional Australia,Townsville,Burdekin,Local Road
NSW,Inner Regional Australia,Central Coast,Central Coast (NSW),Arterial Road
NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,The Hills,Busway
NSW,Outer Regional Australia,Murray,Edward River,Sub-arterial Road
SA,Outer Regional Australia,South Australia - South East,Coorong,Sub-arterial Road
QLD,Major Cities of Australia,Brisbane - East,Redland,Local Road
TAS,Outer Regional Australia,Launceston and North East,George Town,Arterial Road
VIC,Inner Regional Australia,Hume,Mitchell,National or State Highway
NSW,Inner Regional Australia,Richmond - Tweed,Richmond Valley,Local Road
NSW,Major Cities of Australia,Sydney - Ryde,Ryde,Arterial Road
VIC,Inner Regional Australia,Latrobe - Gippsland,Bass Coast,Sub-arterial Road
VIC,Inner Regional Australia,Latrobe - Gippsland,Wellington,Sub-arterial Road
QLD,Very Remote Australia,Queensland - Outback,Richmond,National or State Highway
VIC,Inner Regional Australia,Latrobe - Gippsland,Baw Baw,Arterial Road
TAS,Outer Regional Australia,Launceston and North East,Northern Midlands,Arterial Road
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,Sub-arterial Road
VIC,Inner Regional Australia,Hume,Strathbogie,Local Road
NSW,Remote Australia,Murray,Hay,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,National or State Highway
TAS,Outer Regional Australia,Launceston and North East,Dorset,Collector Road
NSW,Outer Regional Australia,Central West,Weddin,Arterial Road
VIC,Inner Regional Australia,Melbourne - West,Moorabool,National or State Highway
VIC,Major Cities of Australia,Melbourne - Outer East,Knox,Arterial Road
QLD,Inner Regional Australia,Central Queensland,Rockhampton,Access road
VIC,Outer Regional Australia,North West,Buloke,Arterial Road
VIC,Outer Regional Australia,Shepparton,Moira,Sub-arterial Road
NSW,Outer Regional Australia,Far West and Orana,Warrumbungle,National or State Highway
QLD,Inner Regional Australia,Toowoomba,Lockyer Valley,Sub-arterial Road
NSW,Outer Regional Australia,Central West,Lachlan,Arterial Road
NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Waverley,Local Road
VIC,Outer Regional Australia,North West,Northern Grampians,Sub-arterial Road
NSW,Outer Regional Australia,New England and North West,Gunnedah,National or State Highway
VIC,Inner Regional Australia,Shepparton,Campaspe,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - Inner South,Glen Eira,Arterial Road
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,National or State Highway
QLD,Inner Regional Australia,Wide Bay,Fraser Coast,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - West,Melton,Arterial Road
QLD,Inner Regional Australia,Moreton Bay - North,Moreton Bay,Sub-arterial Road
QLD,Outer Regional Australia,Townsville,Charters Towers,Local Road
QLD,Outer Regional Australia,Cairns,Mareeba,Local Road
VIC,Outer Regional Australia,North West,Horsham,National or State Highway
NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,Local Road
SA,Inner Regional Australia,Adelaide - North,Adelaide Plains,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - Inner,Stonnington,Collector Road
NSW,Major Cities of Australia,Sydney - Outer South West,Campbelltown (NSW),Arterial Road
VIC,Inner Regional Australia,Shepparton,Campaspe,Arterial Road
NSW,Inner Regional Australia,Central West,Cowra,National or State Highway
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Mount Remarkable,Arterial Road
NSW,Outer Regional Australia,Far West and Orana,Gilgandra,National or State Highway
QLD,Major Cities of Australia,Brisbane Inner City,Brisbane,National or State Highway
NSW,Major Cities of Australia,Sydney - South West,Liverpool,Collector Road
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Adelaide Plains,Local Road
SA,Inner Regional Australia,South Australia - South East,Alexandrina,National or State Highway
NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Cessnock,National or State Highway
NSW,Major Cities of Australia,Illawarra,Wollongong,Arterial Road
VIC,Inner Regional Australia,Hume,Murrindindi,Arterial Road
QLD,Outer Regional Australia,Darling Downs - Maranoa,Goondiwindi,National or State Highway
NSW,Major Cities of Australia,Richmond - Tweed,Tweed,Arterial Road
QLD,Inner Regional Australia,Wide Bay,South Burnett,Sub-arterial Road
VIC,Inner Regional Australia,Latrobe - Gippsland,Wellington,Local Road
QLD,Inner Regional Australia,Mackay - Isaac - Whitsunday,Mackay,National or State Highway
SA,Major Cities of Australia,Adelaide - Central and Hills,Adelaide,Local Road
QLD,Major Cities of Australia,Logan - Beaudesert,Logan,National or State Highway
VIC,Inner Regional Australia,Melbourne - North East,Mitchell,Arterial Road
QLD,Remote Australia,Cairns,Cassowary Coast,National or State Highway
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Local Road
NSW,Inner Regional Australia,Richmond - Tweed,Ballina,Local Road
VIC,Major Cities of Australia,Melbourne - North West,Hume,Local Road
QLD,Outer Regional Australia,Townsville,Burdekin,Collector Road
QLD,Major Cities of Australia,Brisbane - West,Brisbane,Collector Road
VIC,Outer Regional Australia,Latrobe - Gippsland,East Gippsland,Local Road
QLD,Inner Regional Australia,Moreton Bay - South,Moreton Bay,Local Road
SA,Major Cities of Australia,Adelaide - West,West Torrens,Sub-arterial Road
NSW,Outer Regional Australia,Far West and Orana,Warrumbungle,Sub-arterial Road
VIC,Outer Regional Australia,North West,Yarriambiack,National or State Highway
VIC,Inner Regional Australia,Melbourne - South East,Cardinia,Arterial Road
NSW,Inner Regional Australia,New England and North West,Armidale,National or State Highway
VIC,Major Cities of Australia,Melbourne - Inner South,Glen Eira,Local Road
NSW,Inner Regional Australia,Riverina,Snowy Valleys,National or State Highway
QLD,Inner Regional Australia,Sunshine Coast,Sunshine Coast,Sub-arterial Road
VIC,Inner Regional Australia,Melbourne - North West,Macedon Ranges,Collector Road
NSW,Outer Regional Australia,New England and North West,Inverell,Access road
VIC,Inner Regional Australia,Hume,Mitchell,Local Road
VIC,Major Cities of Australia,Melbourne - Outer East,Whitehorse,Collector Road
QLD,Very Remote Australia,Queensland - Outback,Cloncurry,Sub-arterial Road
QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Mackay,Collector Road
NSW,Outer Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Arterial Road
VIC,Major Cities of Australia,Melbourne - South East,Greater Dandenong,Local Road
SA,Major Cities of Australia,Adelaide - North,Tea Tree Gully,Collector Road
QLD,Remote Australia,Darling Downs - Maranoa,Western Downs,National or State Highway
NSW,Major Cities of Australia,Sydney - South West,Penrith,Arterial Road
NSW,Inner Regional Australia,Illawarra,Kiama,Sub-arterial Road
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,Local Road
QLD,Outer Regional Australia,Brisbane - East,Redland,Collector Road
NSW,Major Cities of Australia,Sydney - South West,Liverpool,Sub-arterial Road
NSW,Inner Regional Australia,Central West,Cowra,Arterial Road
NSW,Remote Australia,Murray,Hay,National or State Highway
VIC,Major Cities of Australia,Melbourne - Inner East,Boroondara,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Arterial Road
TAS,Inner Regional Australia,Hobart,Sorell,National or State Highway
VIC,Outer Regional Australia,Hume,Towong,Arterial Road
TAS,Inner Regional Australia,Hobart,Brighton,Sub-arterial Road
SA,Outer Regional Australia,South Australia - South East,Grant,Collector Road
VIC,Major Cities of Australia,Melbourne - Inner,Port Phillip,National or State Highway
VIC,Inner Regional Australia,Ballarat,Hepburn,Arterial Road
QLD,Outer Regional Australia,Central Queensland,Central Highlands (Qld),National or State Highway
NSW,Major Cities of Australia,Illawarra,Shellharbour,National or State Highway
NSW,Major Cities of Australia,Sydney - Ryde,Ryde,Local Road
VIC,Major Cities of Australia,Melbourne - Outer East,Knox,Pedestrian Thoroughfare
NSW,Outer Regional Australia,Murray,Murray River,Arterial Road
QLD,Inner Regional Australia,Toowoomba,Toowoomba,Sub-arterial Road
NSW,Inner Regional Australia,Sydney - Outer South West,Wollondilly,Sub-arterial Road
VIC,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula,Sub-arterial Road
QLD,Remote Australia,Townsville,Charters Towers,National or State Highway
NSW,Outer Regional Australia,Central West,Blayney,Sub-arterial Road
QLD,Major Cities of Australia,Gold Coast,Gold Coast,Pedestrian Thoroughfare
NSW,Outer Regional Australia,Capital Region,Hilltops,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - Inner South,Kingston (Vic.),Arterial Road
NSW,Major Cities of Australia,Sydney - City and Inner South,Sydney,Arterial Road
QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Mackay,Local Road
NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Collector Road
ACT,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT,National or State Highway
SA,Major Cities of Australia,Adelaide - North,Playford,Sub-arterial Road
QLD,Inner Regional Australia,Ipswich,Lockyer Valley,National or State Highway
QLD,Outer Regional Australia,Darling Downs - Maranoa,Southern Downs,Collector Road
TAS,Remote Australia,West and North West,Circular Head,National or State Highway
NSW,Major Cities of Australia,Sydney - South West,Liverpool,Local Road
VIC,Outer Regional Australia,North West,Swan Hill,Arterial Road
NSW,Outer Regional Australia,Riverina,Murrumbidgee,National or State Highway
VIC,Outer Regional Australia,Hume,Towong,National or State Highway
NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,Arterial Road
QLD,Inner Regional Australia,Ipswich,Scenic Rim,Local Road
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Collector Road
VIC,Major Cities of Australia,Geelong,Greater Geelong,Local Road
NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Maitland,Collector Road
NSW,Outer Regional Australia,Capital Region,Upper Lachlan,Arterial Road
NSW,Inner Regional Australia,Central West,Orange,Local Road
QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay,National or State Highway
TAS,Inner Regional Australia,Launceston and North East,Launceston,Local Road
VIC,Major Cities of Australia,Melbourne - South East,Kingston (Vic.),Arterial Road
VIC,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,Arterial Road
QLD,Major Cities of Australia,Gold Coast,Gold Coast,National or State Highway
NSW,Outer Regional Australia,Central West,Cowra,National or State Highway
SA,Major Cities of Australia,Adelaide - Central and Hills,Walkerville,Local Road
NSW,Major Cities of Australia,Sydney - City and Inner South,Bayside (NSW),Arterial Road
NSW,Inner Regional Australia,Illawarra,Sutherland,Arterial Road
VIC,Major Cities of Australia,Melbourne - Inner East,Whitehorse,Local Road
VIC,Inner Regional Australia,Hume,Strathbogie,Arterial Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Adelaide,Arterial Road
QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,Sub-arterial Road
QLD,Inner Regional Australia,Wide Bay,Gympie,Sub-arterial Road
NSW,Remote Australia,Murray,Wentworth,Arterial Road
TAS,Outer Regional Australia,South East,Tasman,National or State Highway
TAS,Outer Regional Australia,West and North West,Latrobe (Tas.),National or State Highway
QLD,Outer Regional Australia,Central Queensland,Rockhampton,Local Road
VIC,Major Cities of Australia,Melbourne - Inner East,Manningham,Local Road
QLD,Major Cities of Australia,Ipswich,Ipswich,Collector Road
QLD,Inner Regional Australia,Wide Bay,Gympie,National or State Highway
SA,Outer Regional Australia,South Australia - Outback,Port Augusta,National or State Highway
VIC,Outer Regional Australia,Hume,Benalla,Local Road
NSW,Outer Regional Australia,New England and North West,Liverpool Plains,Arterial Road
VIC,Inner Regional Australia,Mornington Peninsula,Mornington Peninsula,Arterial Road
QLD,Remote Australia,Townsville,Hinchinbrook,Local Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Unley,Collector Road
NSW,Inner Regional Australia,Riverina,Snowy Valleys,Local Road
QLD,Outer Regional Australia,Central Queensland,Banana,Local Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Mount Barker,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - City and Inner South,Inner West,National or State Highway
SA,Major Cities of Australia,Adelaide - North,Salisbury,Arterial Road
NSW,Inner Regional Australia,Capital Region,Eurobodalla,National or State Highway
NSW,Major Cities of Australia,Sydney - Sutherland,Sutherland,National or State Highway
NT,Outer Regional Australia,Darwin,Palmerston,National or State Highway
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Barunga West,Sub-arterial Road
NSW,Inner Regional Australia,New England and North West,Tamworth,Local Road
TAS,Remote Australia,West and North West,West Coast,Local Road
QLD,Outer Regional Australia,Cairns,Tablelands,National or State Highway
NSW,Inner Regional Australia,Capital Region,Yass Valley,Sub-arterial Road
SA,Outer Regional Australia,South Australia - South East,Tatiara,Local Road
NSW,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Local Road
NSW,Inner Regional Australia,Capital Region,Snowy Monaro,Local Road
SA,Major Cities of Australia,Adelaide - West,Port Adelaide Enfield,Collector Road
NSW,Outer Regional Australia,Riverina,Snowy Valleys,Sub-arterial Road
NSW,Outer Regional Australia,Riverina,Narrandera,National or State Highway
SA,Major Cities of Australia,Adelaide - West,West Torrens,Arterial Road
QLD,Very Remote Australia,Queensland - Outback,Etheridge,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - South West,Liverpool,National or State Highway
NSW,Outer Regional Australia,Central West,Bland,National or State Highway
NSW,Major Cities of Australia,Sydney - Inner South West,Georges River,Local Road
QLD,Major Cities of Australia,Brisbane - West,Brisbane,Sub-arterial Road
NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,Sub-arterial Road
QLD,Very Remote Australia,Queensland - Outback,Etheridge,Collector Road
NSW,Outer Regional Australia,Central West,Forbes,Local Road
SA,Major Cities of Australia,Adelaide - West,Port Adelaide Enfield,Sub-arterial Road
NSW,Outer Regional Australia,Central West,Oberon,Arterial Road
QLD,Outer Regional Australia,Darling Downs - Maranoa,Maranoa,National or State Highway
NSW,Inner Regional Australia,Illawarra,Wollongong,National or State Highway
NSW,Major Cities of Australia,Sydney - Sutherland,Sutherland,Local Road
VIC,Inner Regional Australia,Warrnambool and South West,Corangamite,Sub-arterial Road
NSW,Inner Regional Australia,Richmond - Tweed,Tweed,Local Road
NSW,Inner Regional Australia,Capital Region,Upper Lachlan,Arterial Road
QLD,Outer Regional Australia,Townsville,Townsville,Sub-arterial Road
NSW,Very Remote Australia,Far West and Orana,Cobar,Arterial Road
VIC,Major Cities of Australia,Melbourne - South East,Casey,Sub-arterial Road
VIC,Inner Regional Australia,Latrobe - Gippsland,Bass Coast,National or State Highway
TAS,Inner Regional Australia,Hobart,Hobart,National or State Highway
NSW,Inner Regional Australia,Illawarra,Wollongong,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - Northern Beaches,Northern Beaches,Collector Road
QLD,Inner Regional Australia,Wide Bay,Gympie,Collector Road
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Yorke Peninsula,Local Road
TAS,Inner Regional Australia,Hobart,Derwent Valley,Local Road
VIC,Inner Regional Australia,Geelong,Surf Coast,Arterial Road
NT,Outer Regional Australia,Darwin,Litchfield,Arterial Road
VIC,Inner Regional Australia,Ballarat,Moorabool,Sub-arterial Road
QLD,Inner Regional Australia,Wide Bay,Bundaberg,Local Road
QLD,Inner Regional Australia,Moreton Bay - South,Moreton Bay,Sub-arterial Road
VIC,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula,Arterial Road
NSW,Major Cities of Australia,Sydney - City and Inner South,Sydney,Collector Road
TAS,Outer Regional Australia,West and North West,Waratah-Wynyard,Access road
NSW,Major Cities of Australia,Sydney - Ryde,Hornsby,Collector Road
NSW,Inner Regional Australia,Central Coast,Central Coast (NSW),Collector Road
VIC,Major Cities of Australia,Melbourne - North West,Hume,Sub-arterial Road
VIC,Inner Regional Australia,Ballarat,Hepburn,National or State Highway
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Port Pirie,Collector Road
VIC,Inner Regional Australia,Latrobe - Gippsland,Bass Coast,Arterial Road
NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Muswellbrook,Arterial Road
NSW,Major Cities of Australia,Sydney - Parramatta,Parramatta,Collector Road
TAS,Outer Regional Australia,West and North West,Circular Head,National or State Highway
VIC,Major Cities of Australia,Geelong,Greater Geelong,Collector Road
SA,Major Cities of Australia,Adelaide - South,Onkaparinga,Collector Road
SA,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills,Arterial Road
NSW,Major Cities of Australia,Sydney - Northern Beaches,Northern Beaches,Local Road
NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Collector Road
TAS,Outer Regional Australia,West and North West,Devonport,National or State Highway
NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Randwick,Collector Road
QLD,Very Remote Australia,Queensland - Outback,Flinders (Qld),National or State Highway
SA,Major Cities of Australia,Adelaide - South,Onkaparinga,Local Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Adelaide Hills,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - Inner West,Burwood,Arterial Road
NT,Remote Australia,Northern Territory - Outback,Alice Springs,Sub-arterial Road
NSW,Outer Regional Australia,Mid North Coast,Nambucca Valley,Arterial Road
VIC,Inner Regional Australia,Shepparton,Moira,National or State Highway
QLD,Outer Regional Australia,Moreton Bay - North,Somerset,Local Road
VIC,Major Cities of Australia,Melbourne - North West,Moonee Valley,Local Road
NT,Very Remote Australia,Northern Territory - Outback,Victoria Daly,Arterial Road
VIC,Major Cities of Australia,Melbourne - Inner East,Manningham,Pedestrian Thoroughfare
NSW,Remote Australia,Central West,Lachlan,Arterial Road
NSW,Outer Regional Australia,New England and North West,Inverell,Sub-arterial Road
NSW,Outer Regional Australia,New England and North West,Gwydir,Sub-arterial Road
SA,Major Cities of Australia,Adelaide - North,Port Adelaide Enfield,Arterial Road
VIC,Inner Regional Australia,Latrobe - Gippsland,Bass Coast,Collector Road
VIC,Inner Regional Australia,Bendigo,Macedon Ranges,Access road
NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Collector Road
QLD,Remote Australia,Mackay - Isaac - Whitsunday,Isaac,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - Inner South West,Bayside (NSW),Arterial Road
NSW,Outer Regional Australia,Riverina,Snowy Valleys,Arterial Road
VIC,Major Cities of Australia,Melbourne - North East,Banyule,Local Road
QLD,Very Remote Australia,Queensland - Outback,Cloncurry,National or State Highway
VIC,Inner Regional Australia,Latrobe - Gippsland,Latrobe (Vic.),Arterial Road
NSW,Outer Regional Australia,Central West,Lithgow,Arterial Road
SA,Major Cities of Australia,Adelaide - West,Charles Sturt,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - Outer East,Maroondah,Sub-arterial Road
NSW,Inner Regional Australia,Murray,Federation,Arterial Road
NSW,Inner Regional Australia,Capital Region,Eurobodalla,Sub-arterial Road
QLD,Very Remote Australia,Queensland - Outback,McKinlay,National or State Highway
VIC,Major Cities of Australia,Melbourne - West,Wyndham,National or State Highway
NSW,Outer Regional Australia,Riverina,Wagga Wagga,National or State Highway
QLD,Inner Regional Australia,Ipswich,Lockyer Valley,Local Road
QLD,Inner Regional Australia,Toowoomba,Toowoomba,National or State Highway
NSW,Inner Regional Australia,Central West,Lithgow,Local Road
NSW,Remote Australia,Far West and Orana,Coonamble,Arterial Road
